brand_name,p_category,p_id,p_num_reviews,p_price,p_star,product,r_eyecolor,r_haircolor,r_review,r_skinconcerns,r_skintone,r_skintype,r_star,reviewer
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,brown,brunette,"I’ve been using this for almost a week now. I can honestly say I was skeptical. I have dark old acne scars, the occasional random zit, and areas on my cheeks that are either enlarged pores or what I’ve heard called “pock marks”. I noticed a difference after the first night. Now, almost a week in to it, I can feel a difference, too. The scars still look the same (only been 1 week). But my overall skin looks brighter. And the areas where I have enlarged pores/pock marks feel a whole lot smoother. Makeup doesn’t automatically settle into them now. I recommend and I’m going to keep using, too!",acne,dark,oily,5,JenJoyWells
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,brown,black,this is great. I use it as a part of my night time routine and my face glows! I have been using it daily for about a week and I feel like it is really helping with skin turn over.,calluses,ebony,combination,5,Shaja221
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,brown,brunette,"Amazing product. I got a sample of Boscia’s exfoliating peel gel and I had a terrible reaction to it. My face was full of tiny bumps. They were itchy and made their way around my entire face...first couple days were mostly on my cheeks and jawline, then moved up to my forehead. I could not get rid of them and I have many good products. I received my glycolic acid toner and tried it out. It tingled but immediately made my skin feel smoother. Not exaggerating, my skin felt about 50% smoother within 15 minutes. The bumps started to disappear. Day two I used the toner and my skin was 90% better. By the third day my skin is back to normal. I cannot say enough about this product. Now that my skin is back to smooth, I am noticing it clearing and perfecting. Love this product.",acne,medium,oily,5,jz823
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,brown,brunette,"I can absolutely tell a difference to the texture and “glow” of my skin after using this every other night for a month. It’s similar to Pixi’s Glow Tonic, but so much cheaper. This *might* sting the slightest bit but it won’t last longer than thirty seconds and it’s barely noticeable. Great product, doesn’t take much to be effective :)",acne,porcelain,combination,5,heymadison
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,brown,black,"I have been using this product for three nights now, and I can already see a difference in the texture and clarity of my skin! I am already a huge fan of Deciem's products, so I definitely couldn't wait to try this toner. My skin went through a bit of a breakout which caused my skin to get a little rough and uneven and there were also dark marks left. I have been using this at night, along with the Ascorbic Acid & AHA peel (rotate these products), and it has made a huge difference this past week!! I will always purchase this! I love how The Ordinary gives pure products for a real price!! Not a bunch of unnecessary fillers like other brands for ridiculous prices.",blackheads,olive,combination,5,impulsebuyer7
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,blue,blonde,"I CANNOT believe the price for the quality and amount of product you get! This stuff has been working magic on my skin for the last few weeks! I still get acne (mainly hormonal/stress related...not much can be done about it) but it goes away noticeably faster when I use this stuff! Just at night, right after washing/before serums and moisturizer. I will be buying more when this is gone!",acne,fair,combination,5,aperry101
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,brown,black,"So technically I bought this toner from the actual brand website and was sooo happy I saw that Sephora is now carrying the brand so I can get those points lol. But I really love this toner. Not too harsh, not stripping (if used correctly). I use this every other day or perhaps once or twice a week now that it’s winter and my skin is a bit drier (I’m combo- tad bit oily t zone, dry patches between the brows and around the mouth). I use it after my double cleanse with a cotton round. It’s so good at taking off dead skin in a non-harsh and non-heavily physical abrasive way (I’m over those sugar scrubs and bead filled cleansers). Can’t wait for everyone to try it out since it’s so cheap but effective!",acne,medium,oily,5,Aly10
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,brown,brunette,"This toner is amazing! Ever since I started using it I see a significant diminish with the fine lines on my foreheads. Another notice difference are my pores! They are way smaller and my skin feels so soft. Yes there will be dryness and a little tingling sensation, but make sure you hydrate very well after using and wear your SPF during the day! I use it every other day and only at night.",darkCircles,medium,dry,5,simplysteph22
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,brown,black,"Stock up when you can get your hands on it! Excellent product and an acceptable dupe for Pixi Glow Tonic. Recommended for pm use only, but I've been using twice a day with no irritation. If you're used to acids, this won't be a problem for you. Another win from The Ordinary!",aging,medium,oily,5,kcbrooklyn
The Ordinary,Skincare,P427406,117,$8.70,4.7436,Glycolic Acid 7% Toning Solution,brown,black,"I struggle with dull skin that always needs exfoliation. Using this toner nightly has changed my skin for the better. After a week, my skin became baby smooth to touch, after two weeks people noticed a ‘glow’ to my skin. A definite repurchase",blackheads,deep,combination,5,dipbrowbitch
